Pathways for c1(CC)ccc(CC)cc1 
T = 298.15K
Min. ΔGrxn over all Pathways: 86.33[kJ/mol]
C(CCCCCCCC)C>>C(=CCC)CCCCCC.[HH]
In Pathway [1, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 35, 37, 38, 40, 41, 43, 45, 46, 47, 48, 49, 50, 52, 53, 54, 56, 57, 59, 60, 62, 64, 65, 66, 68, 69, 70, 71, 72, 74, 96, 98, 99, 101, 102, 104, 106, 107, 108, 109, 110, 111, 113, 114, 115, 117, 118, 120, 121, 123, 125, 126, 127, 129, 130, 131, 132, 133, 135, 137, 138, 139, 141, 142, 143, 144, 145, 146, 147, 149, 150, 151, 153, 154, 155, 156, 157, 159]
Reaction	ΔHrxn[kJ/mol]	ΔSrxn[J/mol/K]	ΔGrxn[kJ/mol]
Pathway1
C(CCCCCCCC)C>>C(=CCC)CCCCCC.[HH]	123.34	124.15	86.33
C(=CCC)CCCCCC>>C(=CCC)C=CCCCC.[HH]	99.27	127.74	61.18
C(=CCC)C=CCCCC>>C(=CCC)C=CC=CCC.[HH]	89.29	121.93	52.94
C(=CCC)C=CC=CCC>>C(=CC)(C=CC=CCC)C	-2.32	-2.69	-1.52
C(=CC)(C=CC=CCC)C.[HH]>>C(C=CC=CCC)(CC)C	-100.83	-131.28	-61.69
C(C=CC=CCC)(CC)C>>C(=C)(C=CC=CCC)CC.[HH]	109.51	120.79	73.5
C(=C)(C=CC=CCC)CC>>C(=C)(C=CC(=CC)C)CC	-5.01	-6.41	-3.1
C(=C)(C=CC(=CC)C)CC.[HH]>>C(=C)(C=CC(CC)C)CC	-101.95	-124.52	-64.82
C(=C)(C=CC(CC)C)CC>>C(=C)(C=CC(=C)CC)CC.[HH]	111.59	116.02	77.0
C(=C)(C=CC(=C)CC)CC>>C1(=CCC(C=C1)CC)CC	-81.62	-26.87	-73.61
C1(=CCC(C=C1)CC)CC>>c1(CC)ccc(CC)cc1.[HH]	-13.82	134.33	-53.87
Pathway2
C(CCCCCCCC)C>>C(=CCCCC)CCCC.[HH]	129.79	129.2	91.26
C(=CCCCC)CCCC>>C(=CCC)C=CCCCC.[HH]	92.83	122.69	56.25
C(=CCC)C=CCCCC>>C(=CCC)C=CC=CCC.[HH]	89.29	121.93	52.94
C(=CCC)C=CC=CCC>>C(=CC)(C=CC=CCC)C	-2.32	-2.69	-1.52
C(=CC)(C=CC=CCC)C.[HH]>>C(C=CC=CCC)(CC)C	-100.83	-131.28	-61.69
C(C=CC=CCC)(CC)C>>C(=C)(C=CC=CCC)CC.[HH]	109.51	120.79	73.5
C(=C)(C=CC=CCC)CC>>C(=C)(C=CC(=CC)C)CC	-5.01	-6.41	-3.1
C(=C)(C=CC(=CC)C)CC.[HH]>>C(=C)(C=CC(CC)C)CC	-101.95	-124.52	-64.82
C(=C)(C=CC(CC)C)CC>>C(=C)(C=CC(=C)CC)CC.[HH]	111.59	116.02	77.0
C(=C)(C=CC(=C)CC)CC>>C1(=CCC(C=C1)CC)CC	-81.62	-26.87	-73.61
C1(=CCC(C=C1)CC)CC>>c1(CC)ccc(CC)cc1.[HH]	-13.82	134.33	-53.87
Pathway3
C(CCCCCCCC)C>>C(=CCC)CCCCCC.[HH]	123.34	124.15	86.33
C(=CCC)CCCCCC>>C(=CCC)CCC=CCC.[HH]	115.55	130.22	76.72
C(=CCC)CCC=CCC>>C(=CCC)C=CC=CCC.[HH]	73.02	119.45	37.4
C(=CCC)C=CC=CCC>>C(=CC)(C=CC=CCC)C	-2.32	-2.69	-1.52
C(=CC)(C=CC=CCC)C.[HH]>>C(C=CC=CCC)(CC)C	-100.83	-131.28	-61.69
C(C=CC=CCC)(CC)C>>C(=C)(C=CC=CCC)CC.[HH]	109.51	120.79	73.5
C(=C)(C=CC=CCC)CC>>C(=C)(C=CC(=CC)C)CC	-5.01	-6.41	-3.1
C(=C)(C=CC(=CC)C)CC.[HH]>>C(=C)(C=CC(CC)C)CC	-101.95	-124.52	-64.82
