Pathways for c12c(cccc1)cccc2 
T = 298.15K
Min. ΔGrxn over all Pathways: 86.33[kJ/mol]
C(CCCCCCCC)C>>C(=CCC)CCCCCC.[HH]
In Pathway [2, 5, 18, 20, 52, 55, 68, 70, 72, 75]
Reaction	ΔHrxn[kJ/mol]	ΔSrxn[J/mol/K]	ΔGrxn[kJ/mol]
Pathway1
C(CCCCCCCC)C>>C(=C)CCCCCCCC.[HH]	129.32	120.06	93.53
C(=C)CCCCCCCC>>C(=C)C=CCCCCCC.[HH]	96.53	128.15	58.32
C(=C)C=CCCCCCC>>C(=C)C=CC=CCCCC.[HH]	107.77	120.33	71.89
C(=C)C=CC=CCCCC>>C(=C)C=CC=CC=CCC.[HH]	89.6	124.14	52.59
C(=C)C=CC=CC=CCC>>C(=C)C=CC=CC=CC=C.[HH]	91.15	116.8	56.32
C(=C)C=CC=CC=CC=C>>C1(=CC=CCC1)C=CC=C	-54.52	-28.9	-45.9
C1(=CC=CCC1)C=CC=C>>C12=C(CCC=C1)C=CCC2	-101.37	-36.75	-90.42
C12=C(CCC=C1)C=CCC2.[HH]>>C1=CC2C(CC1)C=CCC2	-47.66	-122.84	-11.04
C1=CC2C(CC1)C=CCC2>>C1=CC2C(CC1)C=CC=C2.[HH]	96.09	113.2	62.34
C1=CC2C(CC1)C=CC=C2>>C1=CC2C(C=C1)C=CC=C2.[HH]	105.22	128.58	66.89
C1=CC2C(C=C1)C=CC=C2>>c12c(cccc1)cccc2.[HH]	-121.72	113.4	-155.53
Pathway2
C(CCCCCCCC)C>>C(=CCC)CCCCCC.[HH]	123.34	124.15	86.33
C(=CCC)CCCCCC>>C(=C)C=CCCCCCC.[HH]	102.51	124.06	65.52
C(=C)C=CCCCCCC>>C(=C)C=CC=CCCCC.[HH]	107.77	120.33	71.89
C(=C)C=CC=CCCCC>>C(=C)C=CC=CC=CCC.[HH]	89.6	124.14	52.59
C(=C)C=CC=CC=CCC>>C(=C)C=CC=CC=CC=C.[HH]	91.15	116.8	56.32
