,Reactions,Rules,delta G,delta H,delta S,H_reactant_sum,H_product_sum,S_reactant_sum,S_product_sum,R_1,R_2,R_3,P_1,P_2,P_3,R1_Num_of_C,R1_Num_of_db,R1_Num_of_aro,R1_Num_of_cyc,R1_Atypical_aro,P1_Num_of_aro,P1_Num_of_cyc,P1_Atypical_aro,deH_in_cyc,deH_+aromatic,Groups
1,C(CCCCCCCC)C>>C(=CCCCCCCC)C.[HH],Dehydrogenation,88.90413594314057,125.6819940211717,123.35354042606451,-1033163.5017204809,-1033037.8197264597,482.9450318935057,606.2985723195702,C(CCCCCCCC)C,,,C(=CCCCCCCC)C,[HH],,10,0,0,0,0,0,0,0,0,0,A
2,C(CCCCCCCC)C>>C(=C)CCCCCCCC.[HH],Dehydrogenation,93.52714689487739,129.32270949764643,120.05890525832314,-1033163.5017204809,-1033034.1790109832,482.9450318935057,603.0039371518288,C(CCCCCCCC)C,,,C(=C)CCCCCCCC,[HH],,10,0,0,0,0,0,0,0,0,0,A
3,C(CCCCCCCC)C>>C(=CCC)CCCCCC.[HH],Dehydrogenation,86.32910586351477,123.34409518982284,124.14888252996167,-1033163.5017204809,-1033040.157625291,482.9450318935057,607.0939144234674,C(CCCCCCCC)C,,,C(=CCC)CCCCCC,[HH],,10,0,0,0,0,0,0,0,0,0,A
4,C(CCCCCCCC)C>>C(=CCCCCC)CCC.[HH],Dehydrogenation,88.13624930829432,123.99835000699386,120.28207512560635,-1033163.5017204809,-1033039.5033704739,482.9450318935057,603.227107019112,C(CCCCCCCC)C,,,C(=CCCCCC)CCC,[HH],,10,0,0,0,0,0,0,0,0,0,A
5,C(CCCCCCCC)C>>C(=CCCCC)CCCC.[HH],Dehydrogenation,91.26415770402157,129.785570979584,129.20145321335718,-1033163.5017204809,-1033033.7161495013,482.9450318935057,612.1464851068629,C(CCCCCCCC)C,,,C(=CCCCC)CCCC,[HH],,10,0,0,0,0,0,0,0,0,0,A
6,C(CCCCCCCC)C>>C1(C(CCCC1)CCC)C.[HH],CyclizationA,4.737331460513037,26.981725575518794,74.60806344124018,-1033163.5017204809,-1033136.5199949053,482.9450318935057,557.5530953347459,C(CCCCCCCC)C,,,C1(C(CCCC1)CCC)C,[HH],,10,0,0,0,0,0,0,0,0,0,C
7,C(CCCCCCCC)C>>C1(C(CC)CCCC1)CC.[HH],CyclizationA,13.241889101078584,35.68364667613059,75.27002372984072,-1033163.5017204809,-1033127.8180738047,482.9450318935057,558.2150556233464,C(CCCCCCCC)C,,,C1(C(CC)CCCC1)CC,[HH],,10,0,0,0,0,0,0,0,0,0,C
8,C(CCCCCCCC)C>>C1(CCCC)CCCCC1.[HH],CyclizationA,12.619581614944444,35.83001527481247,77.84817595125952,-1033163.5017204809,-1033127.671705206,482.9450318935057,560.7932078447652,C(CCCCCCCC)C,,,C1(CCCC)CCCCC1,[HH],,10,0,0,0,0,0,0,0,0,0,C
9,C(=CCCCCCCC)C>>C(=CC=CCCCCC)C.[HH],Dehydrogenation,55.900366280944525,95.50741820130497,132.842703070134,-1029982.3108377097,-1029886.8034195084,475.61857231957015,608.4612753897042,C(=CCCCCCCC)C,,,C(=CC=CCCCCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,B
10,C(=CCCCCCCC)C>>C(=CCC=CCCCC)C.[HH],Dehydrogenation,71.2250707974363,109.79564902209677,129.3663532606422,-1029982.3108377097,-1029872.5151886876,475.61857231957015,604.9849255802123,C(=CCCCCCCC)C,,,C(=CCC=CCCCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,A
